 ============================================
 Beta  0.800000000000000      L           8 Order           1 Seed  -852522944
   500000000.000000        11745854.0000000     
 (25600.0000000000,0.000000000000000E+000)
 (9929029.00000000,6.698238145244624E-004)
 (30284.3170666537,-2.043015160682308E-006)   1.00000000000000     
 Order           1
 dx = 0, dy = 0
 44     0.1260468357E+000+/-     0.033652%    +i   0.6593212146E-001+/-     0.033653%
 45     0.1096016444E+000+/-     0.035691%    +i   0.6308778671E-001+/-     0.035691%
 46     0.1235991919E+000+/-     0.033204%    +i   0.7792999147E-001+/-     0.033204%
 47     0.1098746613E+000+/-     0.034752%    +i   0.7563221000E-001+/-     0.034752%
 48     0.1151167550E+000+/-     0.033463%    +i   0.8627858572E-001+/-     0.033463%
 49     0.1111738408E+000+/-     0.033520%    +i   0.9053953550E-001+/-     0.033520%
 50     0.1088695022E+000+/-     0.033296%    +i   0.9624197824E-001+/-     0.033296%
 51     0.9909312554E-001+/-     0.034259%    +i   0.9497137387E-001+/-     0.034259%
 52     0.9515098235E-001+/-     0.034259%    +i   0.9892039449E-001+/-     0.034259%
 53     0.9343157972E-001+/-     0.033825%    +i   0.1053322384E+000+/-     0.033825%
 54     0.9329898869E-001+/-     0.033059%    +i   0.1141188355E+000+/-     0.033059%
 55     0.8508737141E-001+/-     0.033729%    +i   0.1131889462E+000+/-     0.033729%
 56     0.7945309882E-001+/-     0.033943%    +i   0.1150649705E+000+/-     0.033942%
 57     0.7848358259E-001+/-     0.033114%    +i   0.1241992180E+000+/-     0.033113%
 58     0.7514467293E-001+/-     0.032723%    +i   0.1303539011E+000+/-     0.032721%
 59     0.7566940130E-001+/-     0.031422%    +i   0.1445835178E+000+/-     0.031419%
 60     0.6510137762E-001+/-     0.032517%    +i   0.1377883654E+000+/-     0.032513%
 61     0.6326060048E-001+/-     0.031535%    +i   0.1492010009E+000+/-     0.031528%
 62     0.5848592209E-001+/-     0.031199%    +i   0.1549293162E+000+/-     0.031189%
 63     0.5385586318E-001+/-     0.030672%    +i   0.1627179734E+000+/-     0.030657%
 
 ============================================
 Beta  0.800000000000000      L           8 Order           1 Seed  -852522944
   2500000000.00000        58782923.0000000     
 (25600.0000000000,0.000000000000000E+000)
 (49705045.0000000,1.681932451683702E-002)
 (30275.4545096982,-1.024468832677549E-005)   1.00000000000000     
 Order           1
 dx = 0, dy = 0
  0     0.4612033589E-001+/-     0.039968%    +i  -0.1544687786E+000+/-     0.039968%
  1     0.5249327944E-001+/-     0.027781%    +i  -0.1585269155E+000+/-     0.027767%
  2     0.6014933049E-001+/-     0.027502%    +i  -0.1593677417E+000+/-     0.027493%
  3     0.6312059301E-001+/-     0.028223%    +i  -0.1488882234E+000+/-     0.028217%
  4     0.6572626567E-001+/-     0.028932%    +i  -0.1391176931E+000+/-     0.028928%
  5     0.7467672554E-001+/-     0.028276%    +i  -0.1427169716E+000+/-     0.028273%
  6     0.7514743454E-001+/-     0.029262%    +i  -0.1302664055E+000+/-     0.029260%
  7     0.7806429923E-001+/-     0.029684%    +i  -0.1235423079E+000+/-     0.029683%
  8     0.7974789876E-001+/-     0.030290%    +i  -0.1154870202E+000+/-     0.030289%
  9     0.8494711381E-001+/-     0.030179%    +i  -0.1130101644E+000+/-     0.030178%
 10     0.9249595025E-001+/-     0.029683%    +i  -0.1131445020E+000+/-     0.029682%
